ID,NOTA,Rango,Año,EA,EG,BT
5075,26.62,1,2022,0,0,0
2326,76.38,3,2022,0,0,0
5077,96.50,6,2022,0,0,0
5077,23.12,1,2022,0,0,0
2326,34.85,1,2022,0,0,0
5075,77.71,3,2022,0,0,0
5077,15.56,1,2022,0,0,0
5075,25.12,1,2022,0,0,0
2326,33.33,1,2022,0,0,0
6096,44.83,1,2022,0,0,0
2326,64.06,2,2022,0,0,0
5077,26.62,1,2022,0,0,0
5075,64.06,2,2022,0,0,0
5077,66.17,2,2022,0,0,0
6096,80.75,4,2022,0,0,0
5075,87.68,5,2022,0,0,0
6096,88.33,5,2022,0,0,0
2351,91.25,6,2022,0,0,0
5077,100.00,6,2022,0,0,0
2326,94.17,6,2022,0,0,0
5077,88.00,5,2022,0,0,0
5075,96.50,6,2022,0,0,0
2326,89.17,5,2022,0,0,0
2351,90.67,5,2022,0,0,0
6096,90.67,5,2022,0,0,0
2326,76.34,3,2022,0,0,0
5077,80.12,4,2022,0,0,0
5075,88.00,5,2022,0,0,0
6563,41.90,1,2022,0,0,0
2351,67.83,2,2022,0,0,0
6096,91.50,6,2022,0,0,0
2326,77.50,3,2022,0,0,0
5077,83.90,4,2022,0,0,0
5075,88.35,5,2022,0,0,0
6096,79.00,3,2022,0,0,0
6563,95.63,6,2022,0,0,0
2351,100.00,6,2022,0,0,0
6728,58.60,2,2022,0,0,1
5077,24.63,1,2022,0,0,0
5075,83.90,4,2022,0,0,0
2326,65.25,2,2022,0,0,0
2351,74.00,3,2022,0,0,0
6563,82.50,4,2022,0,0,0
6708,88.94,5,2022,0,0,0
6096,91.50,6,2022,0,0,0
2351,74.00,3,2022,0,0,0
5077,88.33,5,2022,0,0,0
5075,88.33,5,2022,0,0,0
2326,91.50,6,2022,0,0,0
6563,83.33,4,2022,0,0,0
6096,100.00,6,2022,0,0,0
6708,100.00,6,2022,0,0,0
